Complexity,Loss,Equation
1,44.7256,"2.638477"
3,4.3727164,"x0 * x0"
5,1.7560104,"(x0 * x0) + -1.6177102"
7,1.632639,"((x0 * 1.0565377) * x0) + -1.8582317"
8,0.43900263,"((x0 * x0) + -1.8088019) + cos(x3)"
9,0.3174134,"(exp(cos(x3)) + -3.0880024) + (x0 * x0)"
10,2.0216374e-13,"(cos(x3) * 2.0) + ((x0 * x0) + -2.0)"
11,1.8546598e-13,"(cos(x3) + cos(x3)) + ((x0 * x0) + -2.0)"
12,1.5243019e-13,"(((cos(x3) * 2.0) + 0.17102152) + (x0 * x0)) + -2.1710215"
13,1.5129331e-13,"(((cos(x3) + 0.022484813) + cos(x3)) + (x0 * x0)) + -2.0224848"
14,9.940594e-14,"(cos(x3) * 2.0000002) + (((x0 + 1.6300399) * (x0 + -1.6300399)) + 0.65703005)"
16,9.43522e-14,"(x0 + (cos(x3) * 2.0)) + (((x0 + 0.62053) * (x0 + -1.62053)) + -0.9944125)"
18,8.465107e-14,"((((x0 + 0.07713171) * (x0 + -1.0771317)) + -2.1656694) + ((cos(x3) * 2.0) + x0)) + 0.24875051"
19,6.331703e-14,"(((cos(x3) * 2.0000002) + 0.65703017) + ((x0 + -1.6300399) * (x0 + 1.6300399))) * exp(x3 * -1.3896607e-8)"
22,5.871848e-14,"(((((x0 + -1.1542034) * (x3 * -1.7592479e-8)) + x0) + -1.6300399) * (x0 + 1.6300399)) + ((cos(x3) * 2.0000002) + 0.65703017)"
24,5.4410815e-14,"((cos(x3) * 2.0000002) + 0.65703017) + ((x0 + 1.6300399) * ((x0 + (((x0 + -1.0495232) * -9.863368e-9) * (x3 + 2.0000002))) + -1.6300399))"
29,5.2101552e-14,"((cos(x3) * 2.0000002) + 0.65703017) + (((x0 + (((x0 + ((cos(x3) * 2.0000002) + -1.0495232)) * -9.863368e-9) * (x3 + 2.2532036))) + -1.6300399) * (x0 + 1.6300399))"
30,5.139101e-14,"((x0 + 1.6300399) * ((((x3 + 2.2532036) * (((sin(cos(x3)) * 2.2532036) + (x0 + -1.0495232)) * -9.863368e-9)) + x0) + -1.6300399)) + ((cos(x3) * 2.0000002) + 0.65703017)"
